No,ID,Title,Theme,Geometry_Type,Year,Detail_URL
64,68a6e96f8e7b033391e08cdc,Layanan Sosial,Services,Point,2025,https://mapid.co.id/data-catalog/detail/68a6e96f8e7b033391e08cdc
65,68a6ead78e7b033391e08d8b,Perawatan dan Perbaikan Otomotif,Services,Point,2026,https://mapid.co.id/data-catalog/detail/68a6ead78e7b033391e08d8b
66,68a7d6cf8e7b033391e0aba0,Kementerian,Governance,Point,2022,https://mapid.co.id/data-catalog/detail/68a7d6cf8e7b033391e0aba0
67,68a7de0d56e8afeaaa4319ed,Pemerintahan Lainnya,Governance,Point,2024,https://mapid.co.id/data-catalog/detail/68a7de0d56e8afeaaa4319ed
68,68a7dc9b8e7b033391e0ac52,Lembaga Tinggi Negara,Governance,Point,2023,https://mapid.co.id/data-catalog/detail/68a7dc9b8e7b033391e0ac52
69,68a7db2656e8afeaaa431514,Lembaga Pemerintah Non Kementerian,Governance,Point,2025,https://mapid.co.id/data-catalog/detail/68a7db2656e8afeaaa431514
70,68a7da738e7b033391e0ac43,Lembaga Pemerintah Daerah,Governance,Point,2025,https://mapid.co.id/data-catalog/detail/68a7da738e7b033391e0ac43
71,68a7d98d56e8afeaaa431505,Lembaga Negara,Governance,Point,2025,https://mapid.co.id/data-catalog/detail/68a7d98d56e8afeaaa431505
72,68a7d88b8e7b033391e0ac34,Kepolisian,Governance,Point,2025,https://mapid.co.id/data-catalog/detail/68a7d88b8e7b033391e0ac34
73,68a7d7a356e8afeaaa4314f6,Kemiliteran,Governance,Point,2025,https://mapid.co.id/data-catalog/detail/68a7d7a356e8afeaaa4314f6
74,68a7d5128e7b033391e0ab78,Pemerintahan,Governance,Point,2025,https://mapid.co.id/data-catalog/detail/68a7d5128e7b033391e0ab78
75,68a7d62456e8afeaaa4314ab,Fasilitas Penegakan Hukum,Governance,Point,2025,https://mapid.co.id/data-catalog/detail/68a7d62456e8afeaaa4314ab
76,68a6d2cd8e7b033391e08693,Asuransi,Services,Point,2025,https://mapid.co.id/data-catalog/detail/68a6d2cd8e7b033391e08693
